wallet_address,amount_received,wallet_lifetime,last_transaction_time,annotation
0xec058ac6708de39172eb38b9635f68b4722c8c10,4.682,0,2018-11-28 07:26:13,365cash.co
0x2ff1bfa83377bf2d66542e96d80b37bb98ec78dd,6.804,0,2018-11-09 12:44:04,365cash.co
0x426a9bab4971d482927a0b828628d3291be9f2c3,24.285100659999998,681,2020-02-19 08:39:17,bibox
0xcc1b1b944f804cac474832d54edfb512490681cc,12.333560246206046,650,2020-02-24 03:01:05,binance
0x32cdf3659bacc2b3a46c05eebe3ae4cfedefefdb,82.56645544999999,325,2018-10-11 17:39:09,binance
0xe37a8a7e0f5d9b0662116d820914fba7b5e4c2f6,23.995045,15,2018-02-08 20:31:16,binance
0xe286d83145974009d59ea6f25bb9919a99bc59db,18.49561628,799,2020-04-24 21:00:08,binance
0x69b97547af0985db58ed30bd334694356e18c3f1,427.13780125000005,676,2019-11-30 17:04:54,binance
0x691db135b070dff2693ffc4314984464fb50dc34,43.071709020205695,946,2020-08-10 20:15:36,binance
0x47a5039d4974ae475f7ef01c43d3ac88edd10798,60.036414198131105,909,2020-08-19 05:55:51,binance
0xa5ab1b470460d1b5e2f0f22a4af3199d94c9b006,152.31310371399996,870,2020-05-07 08:15:26,binance
0x3536cc8d307df637fe1340ad6fe4f634dd3ccb79,25.0,0,2018-06-06 10:00:06,binance
0x32ceb83d8d4e44a5d1765e9d399dd197907373de,25.0,0,2018-06-05 15:00:04,binance
0x32968c6b64c6483e860a0e0048cb4a889d72f6c6,25.0,0,2018-06-05 13:30:03,binance
0xb9bb21702e99a0cd46e3a8017f8981e7dc246d96,1.827572795,633,2019-11-07 09:42:13,binance
0x21a87c93840427dcf0161c482622f39f3c0bca64,18.199895767,742,2020-01-14 05:24:44,binance
0x9406bdf52efcd70a6e5ed8b657fb61cb6687416d,15.128807874888007,649,2019-08-16 07:01:05,binance
0x469f4b53966a70666d9e3f1e3d50a01d9086c1dd,153.18759973483475,591,2020-04-02 11:40:21,binance
0xedb248a0ba350d9d5d4e6e7232c3d0185e4e6289,36.315,76,2018-01-22 20:22:29,binance
0x66b662b8c64a3f0376ab878b6e8b629437c8578f,4.05990666,798,2020-02-08 17:44:47,binance
0x073824cd15819416cc793c0cc88c62f8219762da,1362.534758031491,930,2020-07-28 14:30:55,binance
0x60b20200940bb20e8ced20b40d1d5520ae06938f,11.870507484,0,2018-02-01 21:00:46,binance
0xa8fe5b44dc190a166fa44ce4747efa22bd5b2312,3.05467467,238,2018-08-31 17:02:34,binance
0x317cdc094478d574a279631839237e0a4e8e7637,26.320388900137033,5,2018-06-10 09:31:04,binance
0x0ac4d02fced9cb3697767fe0f600ce413ec54569,26.180537770408762,1,2018-05-25 22:00:16,binance
0x337fb91d75924627ae2b683d4b446214bb152474,23.392402871021737,58,2018-06-05 02:31:16,binance
0x43e1038646aca56e12b5affe59cb9d0d028fc396,6.53917691,55,2018-08-06 09:03:25,binance
0x5491d389c06e89da84aa5e2c237c93e4f6c3bfd3,15.09933214,0,2018-06-18 18:00:36,binance
0x0aec9c7e0dd3eed0d94065691a13710ea5bbc278,29.52417424062283,0,2018-05-24 13:00:34,binance
0x8db3a5f35dd63b9e97fd2c514934e442685200e1,11.251580989999999,1,2018-07-18 03:04:18,binance
0x108618d38a435f0b189590cc38ec3bd40fcc964e,2.685634158401989,148,2018-08-24 08:08:58,binance
0x8723a630cd4c5d5a4098d8c2b23e2850cb0360e2,98.13994744000001,773,2020-02-10 13:36:18,binance
0x1531ca82aa429194e14697b52ab6b7267f29657e,1243.3185751776114,843,2020-07-28 13:31:39,binance
0x9ffffff825fcd1f68ef819c2fc372e6d93362dd2,42.118105671490746,554,2019-03-19 20:54:30,binance
0xe7d42017ba90773f95204b54eed182250395aebf,43.101144440000006,138,2018-08-06 22:08:13,binance
0xce211738de07c1eba1bc65d7848ad29c4623d27c,16.158900999,963,2020-07-26 09:07:46,binance
0x6d5207eb9414d625f880cf80db42fd63060df9fa,132.44052721,944,2020-08-14 03:06:58,binance
0xe7e3f88ee38dc933d474117ffc5badb4c5e7f879,60.791734817599995,956,2020-07-20 05:32:53,binance
0xc6bdd49bc15af1de6826f87eee4a655079c9e05e,68.16001772289628,884,2020-08-15 15:31:45,binance
0x6110b15c5e40070dd350be9833c86a27c7b9ccb6,31.63484527,684,2020-07-23 01:29:39,binance
0x99c1c43a265e628a7b22a57c0801ad25ecbea451,177.56880992,335,2019-03-31 01:23:34,binance
0x4157ed3b23d8f82daf110ebe68988851621afb5d,11.2812462,96,2018-07-17 19:03:08,binance
0xf6117801350544ecd60aed67ab4725b85f6bc750,263.732835503,911,2020-05-07 16:01:46,binance
0x4d613cb2d718d50eab758cde9b71bd43cbdbfdcc,97.1508243012815,1051,2020-08-19 01:06:20,binance
0xe3e00c104a0eeb1469fe4504d5c440ccd0f7ed95,204.56298392999997,175,2018-08-23 13:50:14,binance
0xd7814e40e1019be4f92d7f660507133e3477f968,21.166406700000003,253,2018-08-28 15:25:11,binance
0x4624ae26935858e5685d6230259b1b2b24fa6c1e,19.717265838240447,514,2019-09-09 19:39:24,binance
0xa3841ea85b5260b30ddb85e12ff884d5c477ec05,3.7431434,611,2019-11-10 17:51:49,binance
0x2c8a56bd11b0fc580878312a3838e5525f380094,30.30770709820997,2,2018-01-11 13:46:25,binance
0x9f4020c6d2579ad60cfc1d56ac46c66e18e7ea97,4.971401337,607,2019-09-05 07:25:47,binance
0x7150fc4fb0aa6e73eeff515f69dfc4ad0793e6c9,13.445239534940715,959,2020-08-06 19:12:54,binance
0x7b2c2ef8954a86a7c013456cc51ba22861791740,89.885451965,121,2018-07-04 18:02:05,binance
0x570e32356a3dfe4b130bc7eea00123b94ce66b6b,51.334398547110986,4,2018-04-21 10:00:29,binance
0x65a0c15a28149ab565606a14bb34601cdc0fb4bc,4.62971406,465,2019-05-01 00:32:14,binance
0xc21480c2d21ba0211767fb78d29a2bb63c59ea29,19.96326335315654,225,2018-07-28 13:57:12,binance
0xfa33e0d1770796f59c6f9792c85275befd7a749b,21.86397069,136,2018-10-03 09:29:55,binance
0x397ef640bf7a3741d62d5d0a51555607442a7182,38.22943872824998,948,2020-08-18 16:53:10,binance
0x32165a9296ec4b47b266bd020f47a1543055901f,2577.1331528036803,724,2020-04-01 10:43:54,binance
0xc79dc53e1fa0c0940f461d0c333c74f5a872796a,487.0978086124093,915,2020-07-25 21:08:23,binance
0x673249d27ab17827c65153b2527d42790ea0803e,45.008701498449824,942,2020-08-01 12:19:40,binance
0xa4e36ec338cb868296add4a026941cec26d39a88,9.635,15,2018-05-17 12:05:02,binance
0xa62b006f3131f82f43f4fda02d0766c65ba8e7d0,12.26794024,715,2020-07-12 16:32:04,binance
0xf3029665937d82e3a696d6cd6dce1eaaee368c4a,319.31778355000006,807,2020-06-16 18:08:36,binance
0x4d6bf94554b2779017fce6e406aba51f4dfcc904,13.273839,777,2020-02-15 20:07:01,binance
0xb9780fa1a058172a28f9822b696ab424423052ad,82.94699270572563,30,2018-06-04 06:30:55,binance
0x798e2ad4df8a7cfbf0dad05b133f0db850b69dab,56.118,573,2020-01-29 09:59:07,binance
0x01a8db5353369ecc956442ae431688ce93956145,136.65,534,2019-08-07 07:14:19,binance
0xebe160cfb9b53640b4d21cd03ed83af2101f6fdc,40.61193610380292,0,2018-05-16 20:30:30,binance
0x05bb13cc92b7e2d31831055c34da72f0cff2e2e8,377.1261407852453,846,2020-05-04 04:51:54,binance
0x2ea1810db3dfcf851b1e63cef5dacce497bc1cc7,9.954103635323015,919,2020-08-07 16:59:31,binance
0xad3f4a20b76942d3b047163e27c55c641a5db887,52.40393312163177,20,2018-05-23 08:07:55,binance
0x8b03bbe38069a34d1ab6db2f545f6cb8cd2d6a1e,376.7591591927695,89,2018-04-05 06:18:41,binance
0x5def202727aa8da291ed40a3491eccd75cb6ee5d,36.12291391250461,90,2018-09-19 15:38:08,binance
0xc3f52d2283e610534ce54110a6f97dbdef2a5999,225.34852789169017,343,2019-03-22 05:06:24,binance
0x045b2ed2cc912c0f8cb11fecac368717734655e5,27.1036957,553,2019-08-14 16:35:29,bittrex
0x79bcd5e447b0e379affc767756563466ec70929e,95.79128800140134,890,2020-08-09 14:25:36,btcturk
0xfe36411543bd2053124cb66a04a65ea9b4f1eb30,74.45840075760647,793,2020-07-18 13:02:13,btcturk
0xdc2f0e38e321f21a1bb4a0aa2afc409bd4f26935,7.6,0,2017-09-11 13:32:15,changelly
0x542e6345750ef0a9303f89f16405c798dc91da52,121.99,0,2017-11-04 19:17:38,changelly
0xa3e11cb932bde7cb8c438d342184c62a6e16f506,47.56,0,2017-10-24 15:14:58,changelly
0x4e12cf41498491ba308178556da4a8091c912e64,51.89,0,2017-10-02 13:20:41,changelly
0x5806ab6c7405114a06465dae502288825be8d4db,8.99,0,2017-11-04 18:22:28,changelly
0x052195454f84c2e5cceb3d25561dccb0813e3d1e,5.36,0,2017-10-29 15:21:26,changelly
0xf94b8e0ceba6dcd1b888fe02141dd9d0b8e67715,32.29893600036324,436,2019-09-05 11:31:22,cryptonator
0x607c8a459c35f7f474ac2f79f7f5bbf3c37b6e8d,19.59024595,489,2019-07-19 15:10:03,cryptonator
0xd5cab3a15d89f1823a924f646cdb3f89dd415db6,120.72691644000001,409,2019-07-19 15:27:22,cryptonator
0xd4b3bc1240b851e9e3796acba1c90e968b3ddca0,10.0,676,2019-11-29 16:06:32,cryptonator
0x0740859d60dd69ecf96530c52c83051dd6371f26,14.09552698,543,2019-07-19 14:41:54,cryptonator
0x4291e1706c3e3e97d14e7fa23c17b989ca3a962a,30.3,368,2019-09-05 11:57:49,cryptonator
0x56c7341c5ece2af9a803058946c04a184e98ba92,0.26662562,412,2019-01-28 22:59:22,cryptopia
0x53b6747ee323a714382d024e9f66a30eefa01a4c,2.1023883585518233,430,2019-01-28 22:00:24,cryptopia
0x51117e4ca41e08bf7143fbc4cb967d8ef2f1df47,0.75358,411,2019-01-28 22:47:09,cryptopia
0x10d235117fabc4bd1dfd2f0dc8df3eb54accbd0a,3.289822825013752,544,2019-01-28 23:00:17,cryptopia
0x4f0448bd5a0d7bd7d8de20f4cba80fcf6c37ecd5,23.95453782,439,2019-01-28 22:59:22,cryptopia
0x8fbc9fdf0eb7ab6d9eb03ec6a0f05db394f5ca7d,1.3660235937352498,540,2019-01-28 22:01:35,cryptopia
0xa46c04bc413ddabd36d83cc764b5270c0c43062b,1.79368016,447,2019-01-28 22:09:16,cryptopia
0x4b060e1a76a0ec96be70107d8fe437f1200d69c5,0.70296621053,409,2019-01-28 21:53:40,cryptopia
0x8a725f1aed2887313fc7d848a59b249da380983f,0.40830738663301336,420,2019-01-28 22:13:26,cryptopia
0x485bd00e3240d1d9534add74e8a7af638e1edb67,0.367406,575,2019-01-28 22:09:16,cryptopia
0xaf0e71e71cc807f93cdb955f6522301cb56933ef,3.82302083,518,2019-01-28 20:49:20,cryptopia
0xfc2743affabe18a2b67c650fbe6d03a10977d89c,0.12625785400269784,513,2019-01-28 20:25:01,cryptopia
0xb694bb79e589053919312a83264d42f55c177bc9,1.3559,451,2019-01-28 20:50:33,cryptopia
0x37095dcd988f3923dad1c9f9e89691c72318325f,3.03599124945,450,2019-01-28 20:49:47,cryptopia
0xcf5df2a2d80ddbfe82a94f0fe85b0393be0e6ec3,9.06457836,448,2019-01-28 20:53:44,cryptopia
0x72d489ecb19fc339bf560e5e9299e01c03a4ed11,11.453,422,2019-01-28 20:14:39,cryptopia
0x075f80944ae5ad36ba7d08b2cefdd12f849572c0,0.02769,407,2019-01-28 20:03:41,cryptopia
0xaec0fbd1e6e2b7f3c7b761b332805d41443f6edc,0.188318678,540,2019-01-28 19:55:56,cryptopia
0x6fb08f4793fa3b467014f69122f5b1c1459e802e,27.31165136,437,2019-01-28 21:32:48,cryptopia
0x19c25193f0146c9d6ba6c1b9fb192644b8af9135,0.02,411,2019-01-28 20:53:44,cryptopia
0xfe3da92a5fefe91e4971a593230e509bbe2f3b13,4.6622,467,2019-01-28 20:11:47,cryptopia
0xe6c71cc8aec6d6182dfbc8b4d7c5d8260479f134,0.1165531494881536,421,2019-01-28 20:32:33,cryptopia
0x90bf8eecd6ae1955fd4a8a881c8703b6a9057533,2.71391405,414,2019-01-28 19:34:40,cryptopia
0xbc43b28722c56b46808803a61457d5ec8e27df3d,0.09773261,445,2019-01-28 19:57:26,cryptopia
0xcaf8f8955ceb35c19d9b4637f040aa6dace092e7,12.7611067,481,2019-01-28 19:42:14,cryptopia
0x47d21e9464e9dd8db9289f63670e909706c12683,7.243754585826263,405,2019-01-28 20:16:36,cryptopia
